date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:37	103/103	---MCZ	200	added ('OK')	text/plain	date:Fri,%2015%20Nov%202019%2023:20:30%20GMT	https://www.online-calculator.com/robots.txt		(from )
00:59:40	9674/9674	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2016:18:02%20GMT	https://www.online-calculator.com/scientific-calculator/	C:/My%20Web%20Sites/calculator/www.online-calculator.com/scientific-calculator/index.html	(from )
00:59:58	10497/10497	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2009:43:58%20GMT	https://www.online-calculator.com/online-calculator.css?v=010220	C:/My%20Web%20Sites/calculator/www.online-calculator.com/online-calculator6bbf.css	(from https://www.online-calculator.com/scientific-calculator/)
00:59:59	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2030%20Apr%202022%2000:59:59%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/calculator/s7.addthis.com/js/300/addthis_widget.2.delayed	(from https://www.online-calculator.com/scientific-calculator/)
01:00:00	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/calculator/s7.addthis.com/js/300/addthis_widget.js	(from https://www.online-calculator.com/scientific-calculator/)
01:00:01	835/835	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2015%20Nov%202019%2023:20:56%20GMT	https://www.online-calculator.com/include/func.js	C:/My%20Web%20Sites/calculator/www.online-calculator.com/include/func.js	(from https://www.online-calculator.com/scientific-calculator/)
01:00:02	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/calculator/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.online-calculator.com/scientific-calculator/)
01:00:02	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/calculator/www.google-analytics.com/analytics.js	(from https://www.online-calculator.com/scientific-calculator/)
01:00:03	33063/33063	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Nov%202019%2023:20:55%20GMT	https://www.online-calculator.com/images/online-calculator-sprites.png	C:/My%20Web%20Sites/calculator/www.online-calculator.com/images/online-calculator-sprites.png	(from https://www.online-calculator.com/online-calculator.css?v=010220)
01:00:04	5621/5621	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Nov%202019%2023:20:55%20GMT	https://www.online-calculator.com/images/online-calculator.png	C:/My%20Web%20Sites/calculator/www.online-calculator.com/images/online-calculator.png	(from https://www.online-calculator.com/online-calculator.css?v=010220)
01:00:04	0/0	---M--	200	added ('OK')	text/plain	date:Sat,%2030%20Apr%202022%2001:00:04%20GMT	https://live.demand.supply/up.js	C:/My%20Web%20Sites/calculator/live.demand.supply/up.js	(from https://www.online-calculator.com/scientific-calculator/)
